"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2024","578.3106","587.5300","587.8200","578.0315","","-1.57%"
"05/29/2024","587.5309","592.4433","595.5449","586.9037","","-0.83%"
"05/28/2024","592.4433","581.6940","593.5499","581.6940","","1.85%"
"05/24/2024","581.6939","579.8935","583.5653","577.3202","","0.31%"
"05/23/2024","579.8935","583.1933","588.0467","578.4242","","-0.57%"
"05/22/2024","583.1933","588.9441","588.9441","581.8666","","-0.98%"
"05/21/2024","588.9441","591.0514","591.4574","584.6940","","-0.36%"
"05/20/2024","591.0514","587.4846","592.7585","586.5014","","0.61%"
"05/17/2024","587.4845","581.5740","587.7091","581.5740","","1.02%"
"05/16/2024","581.5740","578.8710","583.3357","578.3715","","0.47%"
"05/15/2024","578.8709","575.5206","580.3142","571.8435","","0.58%"
"05/14/2024","575.5206","579.4993","580.7015","574.2132","","-0.69%"
"05/13/2024","579.4993","577.3438","582.2317","574.3445","","0.41%"
"05/10/2024","577.1530","579.0836","583.7350","576.7991","","-0.31%"
"05/09/2024","578.9546","577.4808","581.0627","577.4511","","0.29%"
"05/08/2024","577.2907","577.9959","578.2271","571.2444","","-0.08%"
"05/07/2024","577.7411","577.1428","580.0959","573.5894","","0.14%"
"05/06/2024","576.9475","573.1897","578.6972","571.7674","","0.66%"
"05/03/2024","573.1897","573.1694","578.1131","572.5557","","0.00%"
"05/02/2024","573.1694","572.6671","576.9844","570.0653","","0.09%"
"05/01/2024","572.6671","586.1664","586.1664","572.1806","","-2.30%"
"04/30/2024","586.1663","592.5599","592.7973","582.2793","","-1.08%"
"04/29/2024","592.5599","595.9245","596.4366","591.6500","","-0.57%"
"04/26/2024","595.9391","594.6023","598.9455","594.0774","","0.22%"
"04/25/2024","594.6023","592.1581","595.1351","588.9652","","0.41%"
"04/24/2024","592.1580","593.8187","595.5497","591.0113","","-0.28%"
"04/23/2024","593.8186","589.9589","593.9689","583.3135","","0.65%"
"04/22/2024","589.9588","590.2653","590.8622","583.4699","","-0.05%"
"04/19/2024","590.2653","586.4572","602.0003","584.3713","","0.65%"
"04/18/2024","586.4572","587.1470","589.0346","583.2961","","-0.12%"
"04/17/2024","587.1469","596.8137","597.1183","585.8672","","-1.62%"
"04/16/2024","596.8136","596.9541","600.1671","593.3397","","-0.02%"
"04/15/2024","596.9540","598.3194","601.5242","591.1268","","-0.23%"
"04/12/2024","598.3193","594.1317","606.8108","594.1317","","0.70%"
"04/11/2024","594.1316","598.0142","600.5169","592.9377","","-0.66%"
"04/10/2024","598.0880","595.6421","599.7452","592.7424","","0.40%"
"04/09/2024","595.7014","599.0858","601.4920","595.1034","","-0.58%"
"04/08/2024","599.1657","601.7970","602.6331","591.5208","","-0.46%"
"04/05/2024","601.9073","599.1085","604.5195","598.7999","","0.46%"
"04/04/2024","599.1807","595.0309","601.3346","592.5396","","0.70%"
"04/03/2024","595.0308","590.5725","597.0705","590.3702","","0.75%"
"04/02/2024","590.5725","583.8833","591.9456","583.8833","","1.15%"
"04/01/2024","583.8833","582.4786","587.3318","579.7365","","0.24%"
"03/28/2024","582.4785","573.8854","582.6315","573.6864","","1.50%"
"03/27/2024","573.8853","575.5686","575.5686","570.4477","","-0.29%"
"03/26/2024","575.5686","579.7630","580.9930","575.0450","","-0.72%"
"03/25/2024","579.7629","574.4392","582.3955","574.4392","","0.93%"
"03/22/2024","574.4392","576.9455","577.7867","573.6325","","-0.43%"
"03/21/2024","576.9454","577.1457","581.5752","573.7577","","-0.03%"
"03/20/2024","577.1457","582.9085","582.9085","574.5433","","-0.99%"
"03/19/2024","582.9084","582.4038","583.7620","579.9845","","0.09%"
"03/18/2024","582.4037","575.3409","582.8519","575.3409","","1.23%"
"03/15/2024","575.3409","573.8452","576.2911","571.6677","","0.26%"
"03/14/2024","573.8452","570.2860","575.2319","569.5578","","0.62%"
"03/13/2024","570.2859","561.5204","570.7884","561.5204","","1.60%"
"03/12/2024","561.3222","561.8959","564.7094","559.2366","","-0.08%"
"03/11/2024","561.7639","559.5411","563.2982","555.6782","","0.41%"
"03/08/2024","559.4604","563.5265","567.5800","556.7444","","-0.73%"
"03/07/2024","563.5640","561.9288","565.6030","559.4236","","0.28%"
"03/06/2024","562.0172","557.5346","566.2854","556.0280","","0.80%"
"03/05/2024","557.5346","561.2257","561.9477","556.0669","","-0.66%"
"03/04/2024","561.2257","564.6624","566.8041","560.4579","","-0.61%"
"03/01/2024","564.6624","557.9317","566.7908","556.7505","","1.21%"
"02/29/2024","557.9317","557.7380","561.2261","555.5653","","0.03%"
"02/28/2024","557.7379","561.2351","562.2910","556.0044","","-0.62%"
"02/27/2024","561.2350","555.9180","561.4998","555.1170","","0.96%"
"02/26/2024","555.9180","550.8591","557.5513","548.6644","","0.90%"
"02/23/2024","550.9363","559.2880","559.2880","550.3321","","-1.49%"
"02/22/2024","559.2880","557.3309","560.1540","553.3664","","0.35%"
"02/21/2024","557.3309","553.8723","557.7586","552.5754","","0.62%"
"02/20/2024","553.8723","558.9549","558.9549","552.5304","","-0.91%"
"02/16/2024","558.9548","556.0875","559.0700","552.3149","","0.52%"
"02/15/2024","556.0875","552.7018","558.5792","548.7367","","0.61%"
"02/14/2024","552.7017","559.3012","561.1764","552.2480","","-1.18%"
"02/13/2024","559.3012","558.1295","562.1055","556.5346","","0.22%"
"02/12/2024","558.0708","559.0191","559.7266","554.1584","","-0.16%"
"02/09/2024","558.9902","556.1936","560.9162","554.3245","","0.52%"
"02/08/2024","556.1020","547.9808","556.9383","547.0922","","1.53%"
"02/07/2024","547.7469","544.9698","549.2778","544.2685","","0.56%"
"02/06/2024","544.6871","541.2878","546.6711","540.6975","","0.63%"
"02/05/2024","541.2877","540.0082","542.7191","536.0598","","0.24%"
"02/02/2024","540.0082","547.5654","549.2847","538.5223","","-1.38%"
"02/01/2024","547.5653","555.0681","557.8990","546.9520","","-1.35%"
"01/31/2024","555.0681","561.2278","561.8798","554.1007","","-1.10%"
"01/30/2024","561.2278","556.1780","562.0909","551.3329","","0.91%"
"01/29/2024","556.1780","561.4511","566.1497","554.9609","","-0.94%"
"01/26/2024","561.4510","558.6468","561.6983","553.3558","","0.50%"
"01/25/2024","558.6468","549.8604","559.2182","549.8604","","1.60%"
"01/24/2024","549.8603","545.4300","552.3706","544.7463","","0.81%"
"01/23/2024","545.4299","543.8603","548.0144","540.2475","","0.29%"
"01/22/2024","543.8602","538.8275","545.8190","535.3829","","0.93%"
"01/19/2024","538.8274","540.6367","544.6213","538.2398","","-0.33%"
"01/18/2024","540.6366","534.3058","541.1096","532.1301","","1.18%"
"01/17/2024","534.3057","537.0068","537.0068","528.5390","","-0.50%"
"01/16/2024","537.0067","538.3328","542.3275","535.0384","","-0.25%"
"01/12/2024","538.3328","536.6232","549.7370","536.4855","","0.23%"
"01/11/2024","537.0728","533.4309","543.2021","532.6924","","0.63%"
"01/10/2024","533.7332","537.8722","542.2057","532.4435","","-0.83%"
"01/09/2024","538.1895","530.1059","540.7634","529.7435","","1.51%"
"01/08/2024","530.1905","541.7234","542.3419","525.9251","","-2.13%"
"01/05/2024","541.7565","536.9944","544.2276","536.8705","","0.89%"
"01/04/2024","536.9945","539.1639","543.7527","532.3063","","-0.40%"
"01/03/2024","539.1639","530.4391","539.8226","525.7714","","1.64%"
"01/02/2024","530.4850","535.6413","544.3095","528.9754","","-0.96%"
"12/29/2023","535.6413","538.7795","540.6516","534.7735","","-0.61%"
"12/28/2023","538.9020","547.0580","548.2467","538.7986","","-1.49%"
"12/27/2023","547.0581","551.2557","552.2911","546.4938","","-0.74%"
"12/26/2023","551.1537","543.7270","553.1868","541.2615","","1.37%"
"12/22/2023","543.7270","543.7927","548.9301","542.5546","","-0.01%"
"12/21/2023","543.7928","545.8155","546.4391","538.6716","","-0.37%"
"12/20/2023","545.8156","546.2658","551.2861","543.9794","","-0.08%"
"12/19/2023","546.2658","541.5535","547.7201","538.7553","","0.87%"
"12/18/2023","541.5535","538.6883","549.0699","533.9327","","0.74%"
"12/15/2023","537.5608","535.4846","539.1578","531.9226","","0.39%"
"12/14/2023","535.4846","522.7081","537.5884","522.7081","","2.44%"
"12/13/2023","522.7081","520.4131","524.2303","516.4174","","0.47%"
"12/12/2023","520.2613","530.4823","533.8868","519.1266","","-1.91%"
"12/11/2023","530.4033","531.9618","533.5963","526.7615","","-0.28%"
"12/08/2023","531.9020","525.2230","534.4395","525.2230","","1.29%"
"12/07/2023","525.1421","525.1420","530.4618","523.7780","","0.02%"
"12/06/2023","525.0516","539.8956","541.6828","524.7164","","-2.75%"
"12/05/2023","539.8957","543.0467","547.3973","538.8094","","-0.58%"
"12/04/2023","543.0467","548.7057","551.4338","540.8393","","-1.03%"
